learning_rate,epoch,train_loss,train_accuracy,validation_loss,validation_accuracy
0.001,1,1.3554,0.5065,1.1505,0.5826
0.001,2,0.9893,0.6448,1.4000,0.5422
0.001,3,0.8569,0.6994,1.0136,0.6470
0.001,4,0.7625,0.7340,0.8300,0.7094
0.001,5,0.6927,0.7596,0.6372,0.7772
0.001,6,0.6403,0.7782,0.6408,0.7788
0.001,7,0.6020,0.7911,0.6621,0.7792
0.001,8,0.5620,0.8081,0.6658,0.7730
0.001,9,0.5334,0.8106,0.6055,0.7894
0.001,10,0.5029,0.8280,0.5502,0.8104
0.0005,1,1.4072,0.4915,1.2916,0.5490
0.0005,2,1.0350,0.6311,1.3241,0.5582
0.0005,3,0.9083,0.6780,0.9154,0.6750
0.0005,4,0.8147,0.7165,0.8118,0.7134
0.0005,5,0.7474,0.7402,0.7632,0.7378
0.0005,6,0.6893,0.7614,0.7666,0.7330
0.0005,7,0.6496,0.7747,0.6866,0.7686
0.0005,8,0.6122,0.7890,0.6224,0.7850
0.0005,9,0.5790,0.8016,0.5868,0.7972
0.0005,10,0.5531,0.8093,0.5543,0.8138
